crime_code,crime_desc,crime_category,
110,HOMICIDE,Violent,
121,"RAPE, FORCIBLE",Violent,
122,"RAPE, ATTEMPTED",Violent,
210,ROBBERY,Violent,
220,ATTEMPTED ROBBERY,Violent,
230,"ASSAULT, AGGRAVATED/WITH DEADLY WEAPON",Violent,
435,LYNCHING,Violent,
436,"LYNCHING, ATTEMPTED",Violent,
624,ASSAULT/BATTERY,Violent,
625,ASSAULT/BATTERY,Violent,
860,ASSAULT/BATTERY,Violent,
755,BOMB SCARE,Violent,
756,WEAPONS POSSESSION/BOMBING,Violent,
910,KIDNAPPING/CHILD STEALING,Violent,
920,KIDNAPPING/CHILD STEALING,Violent,
922,KIDNAPPING/CHILD STEALING,Violent,
250,DISCHARGE FIREARMS/SHOTS FIRED,Violent,
251,DISCHARGE FIREARMS/SHOTS FIRED,Violent,
753,DISCHARGE FIREARMS/SHOTS FIRED,Violent,
450,"THEFT FROM PERSON, ATTEMPTED",Property,
350,"THEFT, PERSON",Property,
351,"THEFT, PERSON",Property,
352,"THEFT, PERSON",Property,
648,ARSON,Property,
330,BURGLARY FROM VEHICLE,Property,
310,BURGLARY,Property,
320,"BURGLARY, ATTEMPTED",Property,
410,"BURGLARY FROM VEHICLE, ATTEMPTED",Property,
421,"THEFT FROM VEHICLE, ATTEMPTED",Property,
441,"THEFT PLAIN, ATTEMPTED",Property,
480,BIKE THEFT,Property,
487,BOAT THEFT,Property,
510,VEHICLE THEFT,Property,
520,"VEHICLE THEFT, ATTEMPTED",Property,
647,THROWING OBJECT AT MOVING VEHICLE,Property,
888,TRESPASSING,Property,
740,VANDALISM,Property,
745,VANDALISM,Property,
331,THEFT FROM VEHICLE,Property,
420,THEFT FROM VEHICLE,Property,
341,"THEFT, GRAND",Property,
349,"THEFT, GRAND",Property,
440,"THEFT, PLAIN",Property,
446,"THEFT, PLAIN",Property,
343,SHOPLIFTING/DEFRAUDING/THEFT OF SERVICES,Property,
345,SHOPLIFTING/DEFRAUDING/THEFT OF SERVICES,Property,
442,SHOPLIFTING/DEFRAUDING/THEFT OF SERVICES,Property,
443,SHOPLIFTING/DEFRAUDING/THEFT OF SERVICES,Property,
444,SHOPLIFTING/DEFRAUDING/THEFT OF SERVICES,Property,
445,SHOPLIFTING/DEFRAUDING/THEFT OF SERVICES,Property,
950,SHOPLIFTING/DEFRAUDING/THEFT OF SERVICES,Property,
951,SHOPLIFTING/DEFRAUDING/THEFT OF SERVICES,Property,
763,STALKING,Other,
933,PROWLER,Other,
928,CRIMINAL THREATS/THREATENING PHONE CALLS/LETTERS,Other,
930,CRIMINAL THREATS/THREATENING PHONE CALLS/LETTERS,Other,
901,VIOLATION OF RESTRAINING ORDER,Other,
902,VIOLATION OF RESTRAINING ORDER,Other,
850,"MISDEMEANORS, SEXUAL",Other,
932,"MISDEMEANORS, SEXUAL",Other,
